Date : 2026-03-17 16:45:28
Directory : /home/banchen/Desktop/agent-parallel-system
Total : 92 files,  16682 codes, 567 comments, 2725 blanks, all 19974 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Rust               |         59 |      6,554 |        520 |        903 |      7,977 |
| TOML               |          2 |      4,791 |         16 |        512 |      5,319 |
| Markdown           |         18 |      4,730 |          0 |      1,194 |      5,924 |
| Log                |          1 |        321 |          0 |         85 |        406 |
| MS SQL             |          4 |        135 |         31 |         26 |        192 |
| JSON               |          7 |        119 |          0 |          5 |        124 |
| JSON with Comments |          1 |         32 |          0 |          0 |         32 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         92 |     16,682 |        567 |      2,725 |     19,974 |
| . (Files)                                                                                |          5 |      5,448 |         16 |        707 |      6,171 |
| .mcps                                                                                    |          6 |        102 |          0 |          5 |        107 |
| .roo                                                                                     |          2 |        411 |          0 |        141 |        552 |
| .roo (Files)                                                                             |          1 |         32 |          0 |          0 |         32 |
| .roo/skills                                                                              |          1 |        379 |          0 |        141 |        520 |
| .roo/skills/web-search                                                                   |          1 |        379 |          0 |        141 |        520 |
| .workspace                                                                               |          1 |        321 |          0 |         85 |        406 |
| .workspace/aa                                                                            |          1 |        321 |          0 |         85 |        406 |
| config                                                                                   |          1 |         23 |          0 |          3 |         26 |
| docs                                                                                     |         14 |      3,688 |          0 |        855 |      4,543 |
| examples                                                                                 |          1 |         56 |         18 |         16 |         90 |
| migrations                                                                               |          4 |        135 |         31 |         26 |        192 |
| src                                                                                      |         58 |      6,498 |        502 |        887 |      7,887 |
| src (Files)                                                                              |          1 |        236 |         51 |         45 |        332 |
| src/agsnets                                                                              |          5 |        780 |         37 |         94 |        911 |
| src/api                                                                                  |          8 |        519 |         45 |         86 |        650 |
| src/api (Files)                                                                          |          4 |        196 |         22 |         43 |        261 |
| src/api/user                                                                             |          4 |        323 |         23 |         43 |        389 |
| src/channel                                                                              |          2 |        183 |         17 |         31 |        231 |
| src/chat                                                                                 |          6 |        990 |         91 |        121 |      1,202 |
| src/core                                                                                 |          4 |        275 |         26 |         61 |        362 |
| src/graph_memory                                                                         |          3 |        848 |         62 |         86 |        996 |
| src/mcp                                                                                  |         10 |      1,011 |         33 |        142 |      1,186 |
| src/mcp (Files)                                                                          |          4 |        731 |         33 |         96 |        860 |
| src/mcp/mcp_util                                                                         |          6 |        280 |          0 |         46 |        326 |
| src/postgre_database                                                                     |          2 |        146 |         25 |         23 |        194 |
| src/task                                                                                 |          6 |      1,055 |         60 |        126 |      1,241 |
| src/utils                                                                                |          7 |        109 |         22 |         24 |        155 |
| src/workspace                                                                            |          4 |        346 |         33 |         48 |        427 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/banchen/Desktop/agent-parallel-system/.mcps/fs-list-dir.json                       | JSON               |         16 |          0 |          1 |         17 |
| /home/banchen/Desktop/agent-parallel-system/.mcps/fs-read-file.json                      | JSON               |         17 |          0 |          1 |         18 |
| /home/banchen/Desktop/agent-parallel-system/.mcps/fs-write-file.json                     | JSON               |         18 |          0 |          1 |         19 |
| /home/banchen/Desktop/agent-parallel-system/.mcps/system-info.json                       | JSON               |         16 |          0 |          1 |         17 |
| /home/banchen/Desktop/agent-parallel-system/.mcps/terminal-run.json                      | JSON               |         18 |          0 |          1 |         19 |
| /home/banchen/Desktop/agent-parallel-system/.mcps/web-search.json                        | JSON               |         17 |          0 |          0 |         17 |
| /home/banchen/Desktop/agent-parallel-system/.roo/mcp.json                                | JSON with Comments |         32 |          0 |          0 |         32 |
| /home/banchen/Desktop/agent-parallel-system/.roo/skills/web-search/SKILL.md              | Markdown           |        379 |          0 |        141 |        520 |
| /home/banchen/Desktop/agent-parallel-system/.workspace/aa/memory.log                     | Log                |        321 |          0 |         85 |        406 |
| /home/banchen/Desktop/agent-parallel-system/Cargo.lock                                   | TOML               |      4,732 |          0 |        498 |      5,230 |
| /home/banchen/Desktop/agent-parallel-system/Cargo.toml                                   | TOML               |         59 |         16 |         14 |         89 |
| /home/banchen/Desktop/agent-parallel-system/README.md                                    | Markdown           |        519 |          0 |        159 |        678 |
| /home/banchen/Desktop/agent-parallel-system/config/personality_setting.md                | Markdown           |         23 |          0 |          3 |         26 |
| /home/banchen/Desktop/agent-parallel-system/docs/agent_mcp_api.md                        | Markdown           |        169 |          0 |         52 |        221 |
| /home/banchen/Desktop/agent-parallel-system/docs/api_testing_guide.md                    | Markdown           |        222 |          0 |         57 |        279 |
| /home/banchen/Desktop/agent-parallel-system/docs/auth_api_standard.md                    | Markdown           |        322 |          0 |         58 |        380 |
| /home/banchen/Desktop/agent-parallel-system/docs/channel_layer.md                        | Markdown           |        268 |          0 |         73 |        341 |
| /home/banchen/Desktop/agent-parallel-system/docs/chat_agent_architecture.md              | Markdown           |        658 |          0 |        140 |        798 |
| /home/banchen/Desktop/agent-parallel-system/docs/chat_agent_implementation.md            | Markdown           |        113 |          0 |         31 |        144 |
| /home/banchen/Desktop/agent-parallel-system/docs/chinese_message_testing.md              | Markdown           |        270 |          0 |         56 |        326 |
| /home/banchen/Desktop/agent-parallel-system/docs/debug_streaming_response.md             | Markdown           |        212 |          0 |         48 |        260 |
| /home/banchen/Desktop/agent-parallel-system/docs/mcp_config_api.md                       | Markdown           |        282 |          0 |         62 |        344 |
| /home/banchen/Desktop/agent-parallel-system/docs/streaming_api_guide.md                  | Markdown           |        246 |          0 |         67 |        313 |
| /home/banchen/Desktop/agent-parallel-system/docs/streaming_response_fix.md               | Markdown           |        198 |          0 |         45 |        243 |
| /home/banchen/Desktop/agent-parallel-system/docs/troubleshooting_guide.md                | Markdown           |        246 |          0 |         71 |        317 |
| /home/banchen/Desktop/agent-parallel-system/docs/user_message_api.md                     | Markdown           |        296 |          0 |         55 |        351 |
| /home/banchen/Desktop/agent-parallel-system/docs/user_message_examples.md                | Markdown           |        186 |          0 |         40 |        226 |
| /home/banchen/Desktop/agent-parallel-system/examples/test_streaming_debug.rs             | Rust               |         56 |         18 |         16 |         90 |
| /home/banchen/Desktop/agent-parallel-system/migrations/001_create_messages_table.sql     | MS SQL             |        123 |         26 |         20 |        169 |
| /home/banchen/Desktop/agent-parallel-system/migrations/002_add_mcp_list_to_agents.sql    | MS SQL             |          2 |          2 |          2 |          6 |
| /home/banchen/Desktop/agent-parallel-system/migrations/003_add_status_to_workspaces.sql  | MS SQL             |          4 |          3 |          3 |         10 |
| /home/banchen/Desktop/agent-parallel-system/migrations/004_create_task_reviews_table.sql | MS SQL             |          6 |          0 |          1 |          7 |
| /home/banchen/Desktop/agent-parallel-system/src/agsnets/actor_agent.rs                   | Rust               |        399 |         13 |         43 |        455 |
| /home/banchen/Desktop/agent-parallel-system/src/agsnets/actor_agents_manage.rs           | Rust               |        326 |         19 |         39 |        384 |
| /home/banchen/Desktop/agent-parallel-system/src/agsnets/handler.rs                       | Rust               |         35 |          3 |          5 |         43 |
| /home/banchen/Desktop/agent-parallel-system/src/agsnets/mod.rs                           | Rust               |          4 |          0 |          0 |          4 |
| /home/banchen/Desktop/agent-parallel-system/src/agsnets/model.rs                         | Rust               |         16 |          2 |          7 |         25 |
| /home/banchen/Desktop/agent-parallel-system/src/api/auth.rs                              | Rust               |         68 |          8 |         14 |         90 |
| /home/banchen/Desktop/agent-parallel-system/src/api/auth_utils.rs                        | Rust               |         48 |          2 |          9 |         59 |
| /home/banchen/Desktop/agent-parallel-system/src/api/mod.rs                               | Rust               |          4 |          0 |          1 |          5 |
| /home/banchen/Desktop/agent-parallel-system/src/api/redis_actor.rs                       | Rust               |         76 |         12 |         19 |        107 |
| /home/banchen/Desktop/agent-parallel-system/src/api/user/actor_user.rs                   | Rust               |        112 |          6 |         20 |        138 |
| /home/banchen/Desktop/agent-parallel-system/src/api/user/handler.rs                      | Rust               |        176 |         17 |         16 |        209 |
| /home/banchen/Desktop/agent-parallel-system/src/api/user/mod.rs                          | Rust               |          3 |          0 |          1 |          4 |
| /home/banchen/Desktop/agent-parallel-system/src/api/user/model.rs                        | Rust               |         32 |          0 |          6 |         38 |
| /home/banchen/Desktop/agent-parallel-system/src/channel/actor_messages.rs                | Rust               |        182 |         17 |         30 |        229 |
| /home/banchen/Desktop/agent-parallel-system/src/channel/mod.rs                           | Rust               |          1 |          0 |          1 |          2 |
| /home/banchen/Desktop/agent-parallel-system/src/chat/chat_agent.rs                       | Rust               |        311 |         21 |         27 |        359 |
| /home/banchen/Desktop/agent-parallel-system/src/chat/handler.rs                          | Rust               |        182 |         11 |         14 |        207 |
| /home/banchen/Desktop/agent-parallel-system/src/chat/mod.rs                              | Rust               |          5 |          0 |          1 |          6 |
| /home/banchen/Desktop/agent-parallel-system/src/chat/model.rs                            | Rust               |         58 |         12 |         10 |         80 |
| /home/banchen/Desktop/agent-parallel-system/src/chat/openai_actor.rs                     | Rust               |        216 |         16 |         38 |        270 |
| /home/banchen/Desktop/agent-parallel-system/src/chat/ws_handler.rs                       | Rust               |        218 |         31 |         31 |        280 |
| /home/banchen/Desktop/agent-parallel-system/src/core/actor_system.rs                     | Rust               |         82 |          9 |         17 |        108 |
| /home/banchen/Desktop/agent-parallel-system/src/core/config.rs                           | Rust               |        180 |         15 |         40 |        235 |
| /home/banchen/Desktop/agent-parallel-system/src/core/handler.rs                          | Rust               |         10 |          2 |          3 |         15 |
| /home/banchen/Desktop/agent-parallel-system/src/core/mod.rs                              | Rust               |          3 |          0 |          1 |          4 |
| /home/banchen/Desktop/agent-parallel-system/src/graph_memory/actor_memory.rs             | Rust               |        299 |         19 |         34 |        352 |
| /home/banchen/Desktop/agent-parallel-system/src/graph_memory/mod.rs                      | Rust               |          2 |          0 |          1 |          3 |
| /home/banchen/Desktop/agent-parallel-system/src/graph_memory/neo4j_model.rs              | Rust               |        547 |         43 |         51 |        641 |
| /home/banchen/Desktop/agent-parallel-system/src/main.rs                                  | Rust               |        236 |         51 |         45 |        332 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/handler.rs                           | Rust               |          4 |          0 |          1 |          5 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_actor.rs                         | Rust               |        672 |         28 |         84 |        784 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/common.rs                   | Rust               |         36 |          0 |          9 |         45 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/filesystem.rs               | Rust               |         73 |          0 |         12 |         85 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/mod.rs                      | Rust               |         21 |          0 |          3 |         24 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/system.rs                   | Rust               |         40 |          0 |          6 |         46 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/terminal.rs                 | Rust               |         49 |          0 |          8 |         57 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mcp_util/weather.rs                  | Rust               |         61 |          0 |          8 |         69 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/mod.rs                               | Rust               |          4 |          0 |          0 |          4 |
| /home/banchen/Desktop/agent-parallel-system/src/mcp/model.rs                             | Rust               |         51 |          5 |         11 |         67 |
| /home/banchen/Desktop/agent-parallel-system/src/postgre_database/actor_database.rs       | Rust               |        145 |         25 |         22 |        192 |
| /home/banchen/Desktop/agent-parallel-system/src/postgre_database/mod.rs                  | Rust               |          1 |          0 |          1 |          2 |
| /home/banchen/Desktop/agent-parallel-system/src/task/dag_orchestrator.rs                 | Rust               |        427 |         17 |         52 |        496 |
| /home/banchen/Desktop/agent-parallel-system/src/task/handler.rs                          | Rust               |         41 |          0 |          4 |         45 |
| /home/banchen/Desktop/agent-parallel-system/src/task/mod.rs                              | Rust               |          4 |          0 |          1 |          5 |
| /home/banchen/Desktop/agent-parallel-system/src/task/model.rs                            | Rust               |        248 |         25 |         26 |        299 |
| /home/banchen/Desktop/agent-parallel-system/src/task/task_agent.rs                       | Rust               |        246 |         16 |         25 |        287 |
| /home/banchen/Desktop/agent-parallel-system/src/task/task_notify_queue.rs                | Rust               |         89 |          2 |         18 |        109 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/database_util.rs                   | Rust               |         57 |          8 |         10 |         75 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/env_util.rs                        | Rust               |          6 |          1 |          1 |          8 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/handler_util.rs                    | Rust               |          7 |          2 |          2 |         11 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/json_util.rs                       | Rust               |         12 |          2 |          1 |         15 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/mod.rs                             | Rust               |          5 |          0 |          1 |          6 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/request_ext.rs                     | Rust               |          0 |          0 |          1 |          1 |
| /home/banchen/Desktop/agent-parallel-system/src/utils/workspace_path.rs                  | Rust               |         22 |          9 |          8 |         39 |
| /home/banchen/Desktop/agent-parallel-system/src/workspace/handler.rs                     | Rust               |         74 |          5 |          7 |         86 |
| /home/banchen/Desktop/agent-parallel-system/src/workspace/mod.rs                         | Rust               |          3 |          0 |          1 |          4 |
| /home/banchen/Desktop/agent-parallel-system/src/workspace/model.rs                       | Rust               |         63 |         13 |         13 |         89 |
| /home/banchen/Desktop/agent-parallel-system/src/workspace/workspace_actor.rs             | Rust               |        206 |         15 |         27 |        248 |
| /home/banchen/Desktop/agent-parallel-system/test.json                                    | JSON               |         17 |          0 |          0 |         17 |
| /home/banchen/Desktop/agent-parallel-system/工作Mermaid 流程图.md                             | Markdown           |        121 |          0 |         36 |        157 |
| Total                                                                                    |                    |     16,682 |        567 |      2,725 |     19,974 |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
